parent,child,parents,full
Bar,Dive Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Dive Bar
Bar,Sports Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Sports Bar
Bar,Wine Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Wine Bar
Bar,Pub,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Pub
Bar,Sake Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Sake Bar
Bar,Gay Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Gay Bar
Bar,Karaoke Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Karaoke Bar
Bar,Tiki Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Tiki Bar
Bar,Hookah Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Hookah Bar
Bar,Champagne Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Champagne Bar
Bar,Beer Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Beer Bar
Nightlife Spot,Speakeasy,root|Nightlife Spot,root|Nightlife Spot|Speakeasy
Nightlife Spot,Nightclub,root|Nightlife Spot,root|Nightlife Spot|Nightclub
Nightlife Spot,Lounge,root|Nightlife Spot,root|Nightlife Spot|Lounge
Nightlife Spot,Brewery,root|Nightlife Spot,root|Nightlife Spot|Brewery
root,Professional & Other Places,root,root|Professional & Other Places
Professional & Other Places,Convention Center,root|Professional & Other Places,root|Professional & Other Places|Convention Center
Convention Center,Meeting Room,root|Professional & Other Places|Convention Center,root|Professional & Other Places|Convention Center|Meeting Room
Professional & Other Places,Business Center,root|Professional & Other Places,root|Professional & Other Places|Business Center
Professional & Other Places,Prison,root|Professional & Other Places,root|Professional & Other Places|Prison
Professional & Other Places,Warehouse,root|Professional & Other Places,root|Professional & Other Places|Warehouse
Professional & Other Places,Voting Booth,root|Professional & Other Places,root|Professional & Other Places|Voting Booth
Professional & Other Places,Medical Center,root|Professional & Other Places,root|Professional & Other Places|Medical Center
Medical Center,Rehab Center,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Rehab Center
Medical Center,Chiropractor,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Chiropractor
Medical Center,Doctor's Office,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Doctor's Office
Medical Center,Physical Therapist,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Physical Therapist
Medical Center,Hospital,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Hospital
Medical Center,Medical Lab,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Medical Lab
