parent,child,parents,full
Indian Restaurant,Andhra Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Andhra Restaurant
Indian Restaurant,Kerala Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Kerala Restaurant
Indian Restaurant,Indian Chinese Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Indian Chinese Restaurant
Indian Restaurant,Chettinad Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Chettinad Restaurant
Indian Restaurant,Indian Sweet Shop,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Indian Sweet Shop
Indian Restaurant,Parsi Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Parsi Restaurant
Indian Restaurant,Maharashtrian Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Maharashtrian Restaurant
Indian Restaurant,Goan Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Goan Restaurant
Indian Restaurant,Irani Cafe,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Irani Cafe
Indian Restaurant,Dosa Place,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Dosa Place
Indian Restaurant,Awadhi Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Awadhi Restaurant
Indian Restaurant,Dhaba,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Dhaba
Indian Restaurant,North Indian Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|North Indian Restaurant
Indian Restaurant,Rajasthani Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Rajasthani Restaurant
Indian Restaurant,Chaat Place,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Chaat Place
Indian Restaurant,Multicuisine Indian Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Multicuisine Indian Restaurant
Indian Restaurant,Mughlai Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Mughlai Restaurant
Indian Restaurant,Northeast Indian Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Northeast Indian Restaurant
Indian Restaurant,Gujarati Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Gujarati Restaurant
Indian Restaurant,Udupi Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Udupi Restaurant
Indian Restaurant,Hyderabadi Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Hyderabadi Restaurant
Indian Restaurant,South Indian Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|South Indian Restaurant
Indian Restaurant,Jain Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Jain Restaurant
Indian Restaurant,Karnataka Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Karnataka Restaurant
Food,Buffet,root|Food,root|Food|Buffet
Food,Gastropub,root|Food,root|Food|Gastropub
Food,Middle Eastern Restaurant,root|Food,root|Food|Middle Eastern Restaurant
Middle Eastern Restaurant,Israeli Restaurant,root|Food|Middle Eastern Restaurant,root|Food|Middle Eastern Restaurant|Israeli Restaurant
Middle Eastern Restaurant,Persian Restaurant,root|Food|Middle Eastern Restaurant,root|Food|Middle Eastern Restaurant|Persian Restaurant
Persian Restaurant,Tabbakhi,root|Food|Middle Eastern Restaurant|Persian Restaurant,root|Food|Middle Eastern Restaurant|Persian Restaurant|Tabbakhi
Middle Eastern Restaurant,Kurdish Restaurant,root|Food|Middle Eastern Restaurant,root|Food|Middle Eastern Restaurant|Kurdish Restaurant
Food,German Restaurant,root|Food,root|Food|German Restaurant
German Restaurant,Currywurst Joint,root|Food|German Restaurant,root|Food|German Restaurant|Currywurst Joint
German Restaurant,German Pop-Up Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|German Pop-Up Restaurant
German Restaurant,Franconian Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|Franconian Restaurant
German Restaurant,Rhenisch Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|Rhenisch Restaurant
German Restaurant,Schnitzel Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|Schnitzel Restaurant
German Restaurant,Palatine Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|Palatine Restaurant
German Restaurant,Bavarian Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|Bavarian Restaurant
German Restaurant,Bratwurst Joint,root|Food|German Restaurant,root|Food|German Restaurant|Bratwurst Joint
German Restaurant,Apple Wine Pub,root|Food|German Restaurant,root|Food|German Restaurant|Apple Wine Pub
German Restaurant,Silesian Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|Silesian Restaurant
German Restaurant,Swabian Restaurant,root|Food|German Restaurant,root|Food|German Restaurant|Swabian Restaurant
Food,Bagel Shop,root|Food,root|Food|Bagel Shop
Food,Restaurant,root|Food,root|Food|Restaurant
Food,Southern / Soul Food Restaurant,root|Food,root|Food|Southern / Soul Food Restaurant
Food,Pizza Place,root|Food,root|Food|Pizza Place
Food,Hot Dog Joint,root|Food,root|Food|Hot Dog Joint
Food,Bakery,root|Food,root|Food|Bakery
Food,Dumpling Restaurant,root|Food,root|Food|Dumpling Restaurant
Food,Poutine Place,root|Food,root|Food|Poutine Place
Food,Belgian Restaurant,root|Food,root|Food|Belgian Restaurant
Food,Kebab Restaurant,root|Food,root|Food|Kebab Restaurant
Food,Salad Place,root|Food,root|Food|Salad Place
Food,Coffee Shop,root|Food,root|Food|Coffee Shop
Food,Eastern European Restaurant,root|Food,root|Food|Eastern European Restaurant
Eastern European Restaurant,Bulgarian Restaurant,root|Food|Eastern European Restaurant,root|Food|Eastern European Restaurant|Bulgarian Restaurant
Eastern European Restaurant,Tatar Restaurant,root|Food|Eastern European Restaurant,root|Food|Eastern European Restaurant|Tatar Restaurant
Eastern European Restaurant,Belarusian Restaurant,root|Food|Eastern European Restaurant,root|Food|Eastern European Restaurant|Belarusian Restaurant
Eastern European Restaurant,Romanian Restaurant,root|Food|Eastern European Restaurant,root|Food|Eastern European Restaurant|Romanian Restaurant
Food,Afghan Restaurant,root|Food,root|Food|Afghan Restaurant
Food,Café,root|Food,root|Food|Café
Food,Seafood Restaurant,root|Food,root|Food|Seafood Restaurant
Food,Creperie,root|Food,root|Food|Creperie
Food,Austrian Restaurant,root|Food,root|Food|Austrian Restaurant
Food,Bubble Tea Shop,root|Food,root|Food|Bubble Tea Shop
Food,Halal Restaurant,root|Food,root|Food|Halal Restaurant
Food,Food Stand,root|Food,root|Food|Food Stand
Food,Hungarian Restaurant,root|Food,root|Food|Hungarian Restaurant
Food,Comfort Food Restaurant,root|Food,root|Food|Comfort Food Restaurant
Food,Turkish Restaurant,root|Food,root|Food|Turkish Restaurant
Turkish Restaurant,Kokoreç Restaurant,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Kokoreç Restaurant
Turkish Restaurant,Kumpir Restaurant,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Kumpir Restaurant
Turkish Restaurant,Borek Place,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Borek Place
Turkish Restaurant,Pide Place,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Pide Place
Turkish Restaurant,Tantuni Restaurant,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Tantuni Restaurant
Turkish Restaurant,Kofte Place,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Kofte Place
Turkish Restaurant,Gozleme Place,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Gozleme Place
Turkish Restaurant,Turkish Home Cooking Restaurant,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Turkish Home Cooking Restaurant
Turkish Restaurant,Kumru Restaurant,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Kumru Restaurant
Turkish Restaurant,Doner Restaurant,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Doner Restaurant
Turkish Restaurant,Cigkofte Place,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Cigkofte Place
Turkish Restaurant,Manti Place,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Manti Place
Turkish Restaurant,Turkish Coffeehouse,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Turkish Coffeehouse
Turkish Restaurant,Meyhane,root|Food|Turkish Restaurant,root|Food|Turkish Restaurant|Meyhane
Food,Greek Restaurant,root|Food,root|Food|Greek Restaurant
Greek Restaurant,Modern Greek Restaurant,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Modern Greek Restaurant
Greek Restaurant,Magirio,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Magirio
Greek Restaurant,Grilled Meat Restaurant,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Grilled Meat Restaurant
Greek Restaurant,Taverna,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Taverna
Greek Restaurant,Patsa Restaurant,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Patsa Restaurant
Greek Restaurant,Ouzeri,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Ouzeri
Greek Restaurant,Souvlaki Shop,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Souvlaki Shop
Greek Restaurant,Kafenio,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Kafenio
Greek Restaurant,Fish Taverna,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Fish Taverna
Greek Restaurant,Bougatsa Shop,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Bougatsa Shop
Greek Restaurant,Meze Restaurant,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Meze Restaurant
Greek Restaurant,Cretan Restaurant,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Cretan Restaurant
Greek Restaurant,Tsipouro Restaurant,root|Food|Greek Restaurant,root|Food|Greek Restaurant|Tsipouro Restaurant
Food,Caribbean Restaurant,root|Food,root|Food|Caribbean Restaurant
Caribbean Restaurant,Cuban Restaurant,root|Food|Caribbean Restaurant,root|Food|Caribbean Restaurant|Cuban Restaurant
Food,African Restaurant,root|Food,root|Food|African Restaurant
African Restaurant,Ethiopian Restaurant,root|Food|African Restaurant,root|Food|African Restaurant|Ethiopian Restaurant
Food,Swiss Restaurant,root|Food,root|Food|Swiss Restaurant
Food,Steakhouse,root|Food,root|Food|Steakhouse
Food,English Restaurant,root|Food,root|Food|English Restaurant
Food,Czech Restaurant,root|Food,root|Food|Czech Restaurant
Food,Modern European Restaurant,root|Food,root|Food|Modern European Restaurant
Food,Truck Stop,root|Food,root|Food|Truck Stop
Food,Wings Joint,root|Food,root|Food|Wings Joint
Food,Donut Shop,root|Food,root|Food|Donut Shop
Food,Ukrainian Restaurant,root|Food,root|Food|Ukrainian Restaurant
Ukrainian Restaurant,West-Ukrainian Restaurant,root|Food|Ukrainian Restaurant,root|Food|Ukrainian Restaurant|West-Ukrainian Restaurant
Ukrainian Restaurant,Varenyky restaurant,root|Food|Ukrainian Restaurant,root|Food|Ukrainian Restaurant|Varenyky restaurant
Food,Jewish Restaurant,root|Food,root|Food|Jewish Restaurant
Jewish Restaurant,Kosher Restaurant,root|Food|Jewish Restaurant,root|Food|Jewish Restaurant|Kosher Restaurant
Food,Caucasian Restaurant,root|Food,root|Food|Caucasian Restaurant
Food,Australian Restaurant,root|Food,root|Food|Australian Restaurant
Food,Cajun / Creole Restaurant,root|Food,root|Food|Cajun / Creole Restaurant
Food,Irish Pub,root|Food,root|Food|Irish Pub
Food,Food Truck,root|Food,root|Food|Food Truck
Food,Vegetarian / Vegan Restaurant,root|Food,root|Food|Vegetarian / Vegan Restaurant
Food,Burger Joint,root|Food,root|Food|Burger Joint
Food,Asian Restaurant,root|Food,root|Food|Asian Restaurant
Asian Restaurant,Indonesian Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant
Indonesian Restaurant,Acehnese Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Acehnese Restaurant
Indonesian Restaurant,Manadonese Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Manadonese Restaurant
Indonesian Restaurant,Javanese Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Javanese Restaurant
Indonesian Restaurant,Padangnese Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Padangnese Restaurant
Indonesian Restaurant,Betawinese Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Betawinese Restaurant
Indonesian Restaurant,Sundanese Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Sundanese Restaurant
Indonesian Restaurant,Balinese Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Balinese Restaurant
Indonesian Restaurant,Indonesian Meatball Place,root|Food|Asian Restaurant|Indonesian Restaurant,root|Food|Asian Restaurant|Indonesian Restaurant|Indonesian Meatball Place
Asian Restaurant,Malay Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Malay Restaurant
Asian Restaurant,Noodle House,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Noodle House
Asian Restaurant,Vietnamese Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Vietnamese Restaurant
Asian Restaurant,Burmese Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Burmese Restaurant
Asian Restaurant,Himalayan Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Himalayan Restaurant
Asian Restaurant,Cambodian Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Cambodian Restaurant
Asian Restaurant,Mongolian Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Mongolian Restaurant
Asian Restaurant,Thai Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Thai Restaurant
Thai Restaurant,Som Tum Restaurant,root|Food|Asian Restaurant|Thai Restaurant,root|Food|Asian Restaurant|Thai Restaurant|Som Tum Restaurant
Asian Restaurant,Korean Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Korean Restaurant
Korean Restaurant,Bunsik Restaurant,root|Food|Asian Restaurant|Korean Restaurant,root|Food|Asian Restaurant|Korean Restaurant|Bunsik Restaurant
Korean Restaurant,Janguh Restaurant,root|Food|Asian Restaurant|Korean Restaurant,root|Food|Asian Restaurant|Korean Restaurant|Janguh Restaurant
Korean Restaurant,Gukbap Restaurant,root|Food|Asian Restaurant|Korean Restaurant,root|Food|Asian Restaurant|Korean Restaurant|Gukbap Restaurant
Korean Restaurant,Samgyetang Restaurant,root|Food|Asian Restaurant|Korean Restaurant,root|Food|Asian Restaurant|Korean Restaurant|Samgyetang Restaurant
Korean Restaurant,Bossam/Jokbal Restaurant,root|Food|Asian Restaurant|Korean Restaurant,root|Food|Asian Restaurant|Korean Restaurant|Bossam/Jokbal Restaurant
Asian Restaurant,Chinese Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Chinese Restaurant
Chinese Restaurant,Hubei Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Hubei Restaurant
Chinese Restaurant,Manchu Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Manchu Restaurant
Chinese Restaurant,Huaiyang Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Huaiyang Restaurant
Chinese Restaurant,Zhejiang Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Zhejiang Restaurant
Chinese Restaurant,Chinese Aristocrat Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Chinese Aristocrat Restaurant
Chinese Restaurant,Hong Kong Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Hong Kong Restaurant
Chinese Restaurant,Shanxi Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Shanxi Restaurant
Chinese Restaurant,Imperial Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Imperial Restaurant
Chinese Restaurant,Anhui Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Anhui Restaurant
Chinese Restaurant,Jiangxi Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Jiangxi Restaurant
Chinese Restaurant,Xinjiang Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Xinjiang Restaurant
Chinese Restaurant,Shandong Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Shandong Restaurant
Chinese Restaurant,Guizhou Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Guizhou Restaurant
Chinese Restaurant,Macanese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Macanese Restaurant
Chinese Restaurant,Fujian Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Fujian Restaurant
Chinese Restaurant,Szechuan Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Szechuan Restaurant
Chinese Restaurant,Dim Sum Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Dim Sum Restaurant
Chinese Restaurant,Chinese Breakfast Place,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Chinese Breakfast Place
Chinese Restaurant,Taiwanese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Taiwanese Restaurant
Chinese Restaurant,Shanghai Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Shanghai Restaurant
Chinese Restaurant,Cantonese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Cantonese Restaurant
Chinese Restaurant,Henan Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Henan Restaurant
Chinese Restaurant,Hunan Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Hunan Restaurant
Chinese Restaurant,Dongbei Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Dongbei Restaurant
Chinese Restaurant,Tianjin Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Tianjin Restaurant
Chinese Restaurant,Hakka Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Hakka Restaurant
Chinese Restaurant,Yunnan Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Yunnan Restaurant
Chinese Restaurant,Shaanxi Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Shaanxi Restaurant
Chinese Restaurant,Beijing Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Beijing Restaurant
Chinese Restaurant,Jiangsu Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Jiangsu Restaurant
Chinese Restaurant,Hainan Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Hainan Restaurant
Chinese Restaurant,Peking Duck Restaurant,root|Food|Asian Restaurant|Chinese Restaurant,root|Food|Asian Restaurant|Chinese Restaurant|Peking Duck Restaurant
Asian Restaurant,Hotpot Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Hotpot Restaurant
Asian Restaurant,Satay Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Satay Restaurant
Asian Restaurant,Japanese Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Japanese Restaurant
Japanese Restaurant,Tempura Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Tempura Restaurant
Japanese Restaurant,Yakitori Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Yakitori Restaurant
Japanese Restaurant,Kushikatsu Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Kushikatsu Restaurant
Japanese Restaurant,Nabe Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Nabe Restaurant
Japanese Restaurant,Sukiyaki Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Sukiyaki Restaurant
Japanese Restaurant,Soba Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Soba Restaurant
Japanese Restaurant,Wagashi Place,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Wagashi Place
Japanese Restaurant,Unagi Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Unagi Restaurant
Japanese Restaurant,Ramen Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Ramen Restaurant
Japanese Restaurant,Kaiseki Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Kaiseki Restaurant
Japanese Restaurant,Monjayaki Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Monjayaki Restaurant
Japanese Restaurant,Yoshoku Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Yoshoku Restaurant
Japanese Restaurant,Tonkatsu Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Tonkatsu Restaurant
Japanese Restaurant,Udon Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Udon Restaurant
Japanese Restaurant,Japanese Curry Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Japanese Curry Restaurant
Japanese Restaurant,Donburi Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Donburi Restaurant
Japanese Restaurant,Sushi Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Sushi Restaurant
Japanese Restaurant,Shabu-Shabu Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Shabu-Shabu Restaurant
Japanese Restaurant,Takoyaki Place,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Takoyaki Place
Japanese Restaurant,Okonomiyaki Restaurant,root|Food|Asian Restaurant|Japanese Restaurant,root|Food|Asian Restaurant|Japanese Restaurant|Okonomiyaki Restaurant
Asian Restaurant,Tibetan Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Tibetan Restaurant
Asian Restaurant,Filipino Restaurant,root|Food|Asian Restaurant,root|Food|Asian Restaurant|Filipino Restaurant
Food,Spanish Restaurant,root|Food,root|Food|Spanish Restaurant
Spanish Restaurant,Tapas Restaurant,root|Food|Spanish Restaurant,root|Food|Spanish Restaurant|Tapas Restaurant
Spanish Restaurant,Paella Restaurant,root|Food|Spanish Restaurant,root|Food|Spanish Restaurant|Paella Restaurant
Food,Fried Chicken Joint,root|Food,root|Food|Fried Chicken Joint
Food,Sri Lankan Restaurant,root|Food,root|Food|Sri Lankan Restaurant
Food,Tea Room,root|Food,root|Food|Tea Room
Food,Fondue Restaurant,root|Food,root|Food|Fondue Restaurant
Food,Fish & Chips Shop,root|Food,root|Food|Fish & Chips Shop
Food,Latin American Restaurant,root|Food,root|Food|Latin American Restaurant
Latin American Restaurant,Arepa Restaurant,root|Food|Latin American Restaurant,root|Food|Latin American Restaurant|Arepa Restaurant
Latin American Restaurant,South American Restaurant,root|Food|Latin American Restaurant,root|Food|Latin American Restaurant|South American Restaurant
South American Restaurant,Argentinian Restaurant,root|Food|Latin American Restaurant|South American Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Argentinian Restaurant
South American Restaurant,Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant
Brazilian Restaurant,Churrascaria,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Churrascaria
Brazilian Restaurant,Northern Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Northern Brazilian Restaurant
Brazilian Restaurant,Southern Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Southern Brazilian Restaurant
Brazilian Restaurant,Baiano Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Baiano Restaurant
Brazilian Restaurant,Pastelaria,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Pastelaria
Brazilian Restaurant,Empada House,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Empada House
Brazilian Restaurant,Goiano Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Goiano Restaurant
Brazilian Restaurant,Acai House,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Acai House
Brazilian Restaurant,Central Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Central Brazilian Restaurant
Brazilian Restaurant,Northeastern Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Northeastern Brazilian Restaurant
Brazilian Restaurant,Tapiocaria,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Tapiocaria
Brazilian Restaurant,Southeastern Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant,root|Food|Latin American Restaurant|South American Restaurant|Brazilian Restaurant|Southeastern Brazilian Restaurant
